,Name,Line,Line_Category,Implied Probability,Fixed Odds Site
159,Akil Baddoo,0.5,Singles,0.5512,Underdog Fantasy
160,Eric Haase,0.5,Singles,0.5512,Underdog Fantasy
161,Andy Ibáñez,0.5,Singles,0.5512,Underdog Fantasy
162,Andy Ibáñez,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
163,Matt Vierling,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
164,Jordan Lyles,23.5,Fantasy Points,0.5512,Underdog Fantasy
165,Jordan Lyles,4.0,Strikeouts,0.5512,Underdog Fantasy
166,Jordan Lyles,15.5,Pitching Outs,0.5512,Underdog Fantasy
167,Jordan Lyles,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
168,Jordan Lyles,5.5,Hits Allowed,0.5512,Underdog Fantasy
169,Jordan Lyles,1.5,Walks Allowed,0.5512,Underdog Fantasy
170,MJ Melendez,6.5,Fantasy Points,0.5512,Underdog Fantasy
171,MJ Melendez,2.0,Hits + Runs + RBIs,0.5512,Underdog Fantasy
172,MJ Melendez,0.5,Singles,0.5512,Underdog Fantasy
173,Bobby Witt Jr.,1.5,Total Bases,0.5512,Underdog Fantasy
174,Drew Waters,0.5,Singles,0.5512,Underdog Fantasy
175,Michael Massey,0.5,Singles,0.5512,Underdog Fantasy
176,Michael Massey,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
177,Freddy Fermin,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
178,Kyle Isbel,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
179,Luis Severino,26.5,Fantasy Points,0.5512,Underdog Fantasy
180,Luis Severino,5.0,Strikeouts,0.5512,Underdog Fantasy
181,Luis Severino,15.5,Pitching Outs,0.5512,Underdog Fantasy
182,Luis Severino,3.0,Earned Runs Allowed,0.5512,Underdog Fantasy
183,Luis Severino,5.5,Hits Allowed,0.5512,Underdog Fantasy
184,Luis Severino,1.5,Walks Allowed,0.5512,Underdog Fantasy
185,Giancarlo Stanton,7.5,Fantasy Points,0.5512,Underdog Fantasy
186,Giancarlo Stanton,1.5,Hits + Runs + RBIs,0.5512,Underdog Fantasy
187,Billy McKinney,0.5,Total Bases,0.5512,Underdog Fantasy
188,Gleyber Torres,0.5,Singles,0.5512,Underdog Fantasy
189,Harrison Bader,0.5,Singles,0.5512,Underdog Fantasy
190,Isiah Kiner-Falefa,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
191,Griffin Canning,29.5,Fantasy Points,0.5512,Underdog Fantasy
192,Griffin Canning,5.5,Strikeouts,0.5512,Underdog Fantasy
193,Griffin Canning,17.0,Pitching Outs,0.5512,Underdog Fantasy
194,Griffin Canning,5.0,Hits Allowed,0.5512,Underdog Fantasy
195,Griffin Canning,94.5,Pitch Count,0.5512,Underdog Fantasy
196,Shohei Ohtani,10.5,Fantasy Points,0.5512,Underdog Fantasy
197,Shohei Ohtani,1.5,Total Bases,0.5512,Underdog Fantasy
198,Shohei Ohtani,2.0,Hits + Runs + RBIs,0.5512,Underdog Fantasy
199,Shohei Ohtani,0.5,Singles,0.5512,Underdog Fantasy
200,Taylor Ward,0.5,Singles,0.5512,Underdog Fantasy
201,Zach Neto,0.5,Singles,0.5512,Underdog Fantasy
202,Masataka Yoshida,8.0,Fantasy Points,0.5512,Underdog Fantasy
203,Masataka Yoshida,0.5,Singles,0.5512,Underdog Fantasy
204,Masataka Yoshida,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
205,Yu Chang,0.5,Total Bases,0.5512,Underdog Fantasy
206,Jarren Duran,1.5,Total Bases,0.5512,Underdog Fantasy
207,Jarren Duran,0.5,Singles,0.5512,Underdog Fantasy
208,Justin Turner,0.5,Singles,0.5512,Underdog Fantasy
209,Justin Turner,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
210,Christian Arroyo,0.5,Singles,0.5512,Underdog Fantasy
211,Christian Arroyo,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
212,Alex Verdugo,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
213,Paul Blackburn,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
214,Paul Blackburn,5.5,Hits Allowed,0.5512,Underdog Fantasy
215,Paul Blackburn,1.5,Walks Allowed,0.5512,Underdog Fantasy
216,Seth Brown,6.0,Fantasy Points,0.5512,Underdog Fantasy
217,Seth Brown,0.5,Total Bases,0.5512,Underdog Fantasy
218,JJ Bleday,0.5,Total Bases,0.5512,Underdog Fantasy
219,Ryan Noda,0.5,Total Bases,0.5512,Underdog Fantasy
220,Ryan Noda,1.5,Batter Strikeouts,0.5512,Underdog Fantasy
221,Tyler Soderstrom,0.5,Total Bases,0.5512,Underdog Fantasy
222,Nick Allen,0.5,Singles,0.5512,Underdog Fantasy
223,Nick Allen,0.5,Batter Strikeouts,0.5512,Underdog Fantasy
224,Jordan Diaz,0.5,Singles,0.5512,Underdog Fantasy
225,Sonny Gray,32.5,Fantasy Points,0.5512,Underdog Fantasy
226,Sonny Gray,6.0,Strikeouts,0.5512,Underdog Fantasy
227,Sonny Gray,17.5,Pitching Outs,0.5512,Underdog Fantasy
228,Sonny Gray,2.0,Earned Runs Allowed,0.5512,Underdog Fantasy
229,Sonny Gray,4.5,Hits Allowed,0.5512,Underdog Fantasy
230,Sonny Gray,2.0,Walks Allowed,0.5512,Underdog Fantasy
231,Sonny Gray,89.5,Pitch Count,0.5512,Underdog Fantasy
232,Byron Buxton,6.5,Fantasy Points,0.5512,Underdog Fantasy
233,Byron Buxton,1.5,Batter Strikeouts,0.5512,Underdog Fantasy
234,Ryan Jeffers,0.5,Total Bases,0.5512,Underdog Fantasy
235,Joey Gallo,0.5,Total Bases,0.5512,Underdog Fantasy
236,Carlos Correa,0.5,Singles,0.5512,Underdog Fantasy
237,Donovan Solano,0.5,Singles,0.5512,Underdog Fantasy
238,Alex Kirilloff,0.5,Singles,0.5512,Underdog Fantasy
239,Logan Gilbert,37.5,Fantasy Points,0.5512,Underdog Fantasy
240,Logan Gilbert,7.0,Strikeouts,0.5512,Underdog Fantasy
241,Logan Gilbert,2.5,Earned Runs Allowed,0.5512,Underdog Fantasy
242,Logan Gilbert,5.0,Hits Allowed,0.5512,Underdog Fantasy
243,Logan Gilbert,1.5,Walks Allowed,0.5512,Underdog Fantasy
244,Logan Gilbert,94.5,Pitch Count,0.5512,Underdog Fantasy
245,Julio Rodríguez,7.5,Fantasy Points,0.5512,Underdog Fantasy
246,Julio Rodríguez,1.5,Hits + Runs + RBIs,0.5512,Underdog Fantasy
247,Julio Rodríguez,0.5,Singles,0.5512,Underdog Fantasy
248,Mike Ford,0.5,Total Bases,0.5512,Underdog Fantasy
249,Jose Caballero,0.5,Total Bases,0.5512,Underdog Fantasy
250,J.P. Crawford,0.5,Singles,0.5512,Underdog Fantasy
251,Ty France,0.5,Singles,0.5512,Underdog Fantasy
252,Emoni Bates,18.5,Points,0.5512,Underdog Fantasy
253,Emoni Bates,26.5,Pts + Rebs + Asts,0.5512,Underdog Fantasy
254,Emoni Bates,6.5,Rebounds,0.5512,Underdog Fantasy
255,Emoni Bates,8.0,Rebounds + Assists,0.5512,Underdog Fantasy
256,Emoni Bates,3.0,3-Pointers Made,0.5512,Underdog Fantasy
257,Sam Merrill,16.5,Points,0.5512,Underdog Fantasy
258,Sam Merrill,3.0,Assists,0.5512,Underdog Fantasy
259,Sam Merrill,6.5,Rebounds + Assists,0.5512,Underdog Fantasy
260,Isaiah Mobley,18.0,Points,0.5512,Underdog Fantasy
261,Isaiah Mobley,29.5,Pts + Rebs + Asts,0.5512,Underdog Fantasy
262,Isaiah Mobley,8.5,Rebounds,0.5512,Underdog Fantasy
263,Isaiah Mobley,11.0,Rebounds + Assists,0.5512,Underdog Fantasy
264,Cam Whitmore,23.5,Points,0.5512,Underdog Fantasy
265,Cam Whitmore,31.0,Pts + Rebs + Asts,0.5512,Underdog Fantasy
266,Cam Whitmore,5.0,Rebounds,0.5512,Underdog Fantasy
267,Cam Whitmore,8.0,Rebounds + Assists,0.5512,Underdog Fantasy
268,Cam Whitmore,3.0,3-Pointers Made,0.5512,Underdog Fantasy
269,Trevor Hudgins,18.0,Points,0.5512,Underdog Fantasy
270,Trevor Hudgins,29.5,Pts + Rebs + Asts,0.5512,Underdog Fantasy
271,Trevor Hudgins,7.0,Assists,0.5512,Underdog Fantasy
272,Trevor Hudgins,11.5,Rebounds + Assists,0.5512,Underdog Fantasy
273,Nate Hinton,15.0,Points,0.5512,Underdog Fantasy
274,Nate Hinton,21.5,Pts + Rebs + Asts,0.5512,Underdog Fantasy
275,Nate Hinton,4.5,Rebounds,0.5512,Underdog Fantasy
276,Nate Hinton,7.0,Rebounds + Assists,0.5512,Underdog Fantasy
277,Deshaun Watson,3.0,Rushing TDs,0.5512,Underdog Fantasy
278,Deshaun Watson,26.5,Passing TDs,0.5512,Underdog Fantasy
279,Deshaun Watson,399.5,Rushing Yards,0.5512,Underdog Fantasy
280,Deshaun Watson,3625.5,Passing Yards,0.5512,Underdog Fantasy
281,Derek Carr,23.5,Passing TDs,0.5512,Underdog Fantasy
282,Derek Carr,3865.5,Passing Yards,0.5512,Underdog Fantasy
283,C.J. Stroud,20.0,Passing TDs,0.5512,Underdog Fantasy
284,C.J. Stroud,3400.5,Passing Yards,0.5512,Underdog Fantasy
285,Mac Jones,17.5,Passing TDs,0.5512,Underdog Fantasy
286,Mac Jones,0.5,Rushing TDs,0.5512,Underdog Fantasy
287,Mac Jones,3250.5,Passing Yards,0.5512,Underdog Fantasy
288,Jordan Love,21.5,Passing TDs,0.5512,Underdog Fantasy
289,Jordan Love,3215.5,Passing Yards,0.5512,Underdog Fantasy
290,Jordan Love,13.5,Interceptions,0.5512,Underdog Fantasy
291,Aaron Rodgers,28.5,Passing TDs,0.5512,Underdog Fantasy
292,Aaron Rodgers,1.5,Rushing TDs,0.5512,Underdog Fantasy
293,Aaron Rodgers,4000.5,Passing Yards,0.5512,Underdog Fantasy
294,Aaron Rodgers,8.5,Interceptions,0.5512,Underdog Fantasy
295,Jalen Hurts,11.5,Rushing TDs,0.5512,Underdog Fantasy
296,Jalen Hurts,23.5,Passing TDs,0.5512,Underdog Fantasy
297,Jalen Hurts,3550.5,Passing Yards,0.5512,Underdog Fantasy
298,Jalen Hurts,725.5,Rushing Yards,0.5512,Underdog Fantasy
299,Joe Burrow,3.0,Rushing TDs,0.5512,Underdog Fantasy
300,Joe Burrow,33.5,Passing TDs,0.5512,Underdog Fantasy
301,Joe Burrow,199.5,Rushing Yards,0.5512,Underdog Fantasy
302,Joe Burrow,4425.5,Passing Yards,0.5512,Underdog Fantasy
303,Justin Fields,6.5,Rushing TDs,0.5512,Underdog Fantasy
304,Justin Fields,20.0,Passing TDs,0.5512,Underdog Fantasy
305,Justin Fields,875.5,Rushing Yards,0.5512,Underdog Fantasy
306,Justin Fields,2950.5,Passing Yards,0.5512,Underdog Fantasy
307,Jared Goff,25.5,Passing TDs,0.5512,Underdog Fantasy
308,Jared Goff,4000.5,Passing Yards,0.5512,Underdog Fantasy
309,Dak Prescott,26.5,Passing TDs,0.5512,Underdog Fantasy
310,Dak Prescott,4025.5,Passing Yards,0.5512,Underdog Fantasy
311,Russell Wilson,2.5,Rushing TDs,0.5512,Underdog Fantasy
312,Russell Wilson,24.5,Passing TDs,0.5512,Underdog Fantasy
313,Russell Wilson,225.5,Rushing Yards,0.5512,Underdog Fantasy
314,Russell Wilson,3800.5,Passing Yards,0.5512,Underdog Fantasy
315,Daniel Jones,17.5,Passing TDs,0.5512,Underdog Fantasy
316,Daniel Jones,3250.5,Passing Yards,0.5512,Underdog Fantasy
317,Daniel Jones,575.5,Rushing Yards,0.5512,Underdog Fantasy
318,Kirk Cousins,29.5,Passing TDs,0.5512,Underdog Fantasy
319,Kirk Cousins,4350.5,Passing Yards,0.5512,Underdog Fantasy
320,Anthony Richardson,16.0,Passing TDs,0.5512,Underdog Fantasy
321,Anthony Richardson,2725.5,Passing Yards,0.5512,Underdog Fantasy
322,Bryce Young,22.5,Passing TDs,0.5512,Underdog Fantasy
323,Bryce Young,3446.5,Passing Yards,0.5512,Underdog Fantasy
324,Justin Herbert,2.5,Rushing TDs,0.5512,Underdog Fantasy
325,Justin Herbert,31.5,Passing TDs,0.5512,Underdog Fantasy
326,Justin Herbert,199.5,Rushing Yards,0.5512,Underdog Fantasy
327,Justin Herbert,4385.5,Passing Yards,0.5512,Underdog Fantasy
328,Josh Allen,7.0,Rushing TDs,0.5512,Underdog Fantasy
329,Josh Allen,32.5,Passing TDs,0.5512,Underdog Fantasy
330,Josh Allen,4300.5,Passing Yards,0.5512,Underdog Fantasy
331,Josh Allen,600.5,Rushing Yards,0.5512,Underdog Fantasy
332,Desmond Ridder,15.5,Passing TDs,0.5512,Underdog Fantasy
333,Desmond Ridder,2600.5,Passing Yards,0.5512,Underdog Fantasy
334,Geno Smith,27.5,Passing TDs,0.5512,Underdog Fantasy
335,Geno Smith,3800.5,Passing Yards,0.5512,Underdog Fantasy
336,Trevor Lawrence,3.0,Rushing TDs,0.5512,Underdog Fantasy
337,Trevor Lawrence,27.5,Passing TDs,0.5512,Underdog Fantasy
338,Trevor Lawrence,285.5,Rushing Yards,0.5512,Underdog Fantasy
339,Trevor Lawrence,3995.5,Passing Yards,0.5512,Underdog Fantasy
340,Kenny Pickett,19.5,Passing TDs,0.5512,Underdog Fantasy
341,Kenny Pickett,3350.5,Passing Yards,0.5512,Underdog Fantasy
342,Lamar Jackson,24.0,Passing TDs,0.5512,Underdog Fantasy
343,Lamar Jackson,6.5,Rushing TDs,0.5512,Underdog Fantasy
344,Lamar Jackson,825.5,Rushing Yards,0.5512,Underdog Fantasy
345,Lamar Jackson,3500.5,Passing Yards,0.5512,Underdog Fantasy
346,Tua Tagovailoa,25.5,Passing TDs,0.5512,Underdog Fantasy
347,Tua Tagovailoa,3800.5,Passing Yards,0.5512,Underdog Fantasy
348,Dameon Pierce,5.5,Rushing TDs,0.5512,Underdog Fantasy
349,Dameon Pierce,900.5,Rushing Yards,0.5512,Underdog Fantasy
350,Jonathan Taylor,8.5,Rushing TDs,0.5512,Underdog Fantasy
351,Jonathan Taylor,1200.5,Rushing Yards,0.5512,Underdog Fantasy
352,Joe Mixon,1.5,Receiving TDs,0.5512,Underdog Fantasy
353,Joe Mixon,7.0,Rushing TDs,0.5512,Underdog Fantasy
354,Joe Mixon,800.5,Rushing Yards,0.5512,Underdog Fantasy
355,Josh Jacobs,9.0,Rushing TDs,0.5512,Underdog Fantasy
356,Josh Jacobs,0.5,Receiving TDs,0.5512,Underdog Fantasy
357,Josh Jacobs,1075.5,Rushing Yards,0.5512,Underdog Fantasy
358,James Conner,6.5,Rushing TDs,0.5512,Underdog Fantasy
359,James Conner,650.5,Rushing Yards,0.5512,Underdog Fantasy
360,D'Andre Swift,4.5,Rushing TDs,0.5512,Underdog Fantasy
361,D'Andre Swift,567.5,Rushing Yards,0.5512,Underdog Fantasy
362,Nick Chubb,0.5,Receiving TDs,0.5512,Underdog Fantasy
363,Nick Chubb,8.5,Rushing TDs,0.5512,Underdog Fantasy
364,Nick Chubb,1200.5,Rushing Yards,0.5512,Underdog Fantasy
365,Tony Pollard,3.0,Receiving TDs,0.5512,Underdog Fantasy
366,Tony Pollard,7.5,Rushing TDs,0.5512,Underdog Fantasy
367,Tony Pollard,1025.5,Rushing Yards,0.5512,Underdog Fantasy
368,Derrick Henry,0.5,Receiving TDs,0.5512,Underdog Fantasy
369,Derrick Henry,9.5,Rushing TDs,0.5512,Underdog Fantasy
370,Derrick Henry,1225.5,Rushing Yards,0.5512,Underdog Fantasy
371,Kenneth Walker,0.5,Receiving TDs,0.5512,Underdog Fantasy
372,Kenneth Walker,7.5,Rushing TDs,0.5512,Underdog Fantasy
373,Kenneth Walker,1000.5,Rushing Yards,0.5512,Underdog Fantasy
374,Najee Harris,2.5,Receiving TDs,0.5512,Underdog Fantasy
375,Najee Harris,6.5,Rushing TDs,0.5512,Underdog Fantasy
376,Najee Harris,925.5,Rushing Yards,0.5512,Underdog Fantasy
377,Bijan Robinson,8.5,Rushing TDs,0.5512,Underdog Fantasy
378,Bijan Robinson,1075.5,Rushing Yards,0.5512,Underdog Fantasy
