,Player1,Player2,Stat_Category,Adjustment,Fixed Odds Site
103,Jaxon Smith-Njigba,Jerry Jeudy,Receiving TDs,0.0,Underdog Fantasy
104,Mike Williams,Keenan Allen,Receiving Yards,0.0,Underdog Fantasy
105,Jaxon Smith-Njigba,Darren Waller,Receiving Yards,25.0,Underdog Fantasy
106,Michael Gallup,Pat Freiermuth,Receiving Yards,25.0,Underdog Fantasy
107,Ja'Marr Chase,Cooper Kupp,Receiving Yards,25.0,Underdog Fantasy
108,T.J. Hockenson,Calvin Ridley,Receiving TDs,0.5,Underdog Fantasy
109,DJ Chark,Courtland Sutton,Receiving Yards,25.0,Underdog Fantasy
110,Deebo Samuel,DJ Moore,Receiving Yards,50.0,Underdog Fantasy
111,Michael Pittman,T.J. Hockenson,Receiving Yards,0.0,Underdog Fantasy
112,Allen Lazard,Adam Thielen,Receiving TDs,0.0,Underdog Fantasy
113,Chase Claypool,Adam Thielen,Receiving Yards,25.0,Underdog Fantasy
114,A.J. Brown,Garrett Wilson,Receiving Yards,40.0,Underdog Fantasy
115,Zay Flowers,Quentin Johnston,Receiving Yards,0.0,Underdog Fantasy
116,Dallas Goedert,Tyler Boyd,Receiving Yards,0.0,Underdog Fantasy
117,Allen Lazard,Rashod Bateman,Receiving Yards,0.0,Underdog Fantasy
118,Jahan Dotson,Tyler Lockett,Receiving Yards,25.0,Underdog Fantasy
119,Gabe Davis,Brandin Cooks,Receiving Yards,40.0,Underdog Fantasy
120,Mark Andrews,Tyler Lockett,Receiving Yards,25.0,Underdog Fantasy
121,Evan Engram,Nico Collins,Receiving Yards,7.0,Underdog Fantasy
122,Donovan Peoples-Jones,Dalton Schultz,Receiving Yards,0.0,Underdog Fantasy
123,Marquise Brown,Terry McLaurin,Receiving Yards,50.0,Underdog Fantasy
124,David Njoku,Romeo Doubs,Receiving Yards,15.0,Underdog Fantasy
125,Odell Beckham,JuJu Smith-Schuster,Receiving TDs,0.0,Underdog Fantasy
126,Isaiah Hodgins,Dawson Knox,Receiving Yards,0.0,Underdog Fantasy
127,Tee Higgins,Amon-Ra St. Brown,Receiving Yards,10.0,Underdog Fantasy
128,Val: Klaus,Val: NagZ,Kills on Map 1+2,0.0,Underdog Fantasy
129,Sam Merrill,Emoni Bates,Pts + Rebs + Asts,2.0,Underdog Fantasy
130,Sam Merrill,Isaiah Mobley,Points,1.5,Underdog Fantasy
131,Isaiah Mobley,Cam Whitmore,Pts + Rebs + Asts,1.5,Underdog Fantasy
132,Nate Hinton,Trevor Hudgins,Points,3.0,Underdog Fantasy
133,Facundo Bagnis,Arthur Rinderknech,Games won,1.5,Underdog Fantasy
134,Taro Daniel,Pedro Cachin,Games won,1.5,Underdog Fantasy
135,Filip Misolic,Dusan Lajovic,Games won,1.5,Underdog Fantasy
136,Jozef Kovalik,Alejandro Davidovich Fokina,Games won,5.0,Underdog Fantasy
137,Anna Siskova,Evgeniya Rodina,Games won,0.0,Underdog Fantasy
138,Dominic Stricker,Arthur Fils,Games won,1.0,Underdog Fantasy
139,Federico Coria,Sebastian Baez,Games won,4.0,Underdog Fantasy
140,Elisabetta Cocciaretto,Sara Sorribes Tormo,Games won,0.5,Underdog Fantasy
141,Kateryna Volodko,Yulia Putintseva,Games won,6.5,Underdog Fantasy
142,Lucrezia Stefanini,Olga Danilovic,Games won,5.0,Underdog Fantasy
143,Erika Andreeva,Lucia Bronzetti,Games won,3.0,Underdog Fantasy
144,Francesca Curmi,Cristina Bucsa,Games won,6.0,Underdog Fantasy
145,Mia Ristic,Dayana Yastremska,Games won,6.5,Underdog Fantasy
146,Diana Shnaider,Bernarda Pera,Games won,4.0,Underdog Fantasy
147,Fanni Stollar,Irene Burillo Escorihuela,Games won,3.5,Underdog Fantasy
148,Eva Vedder,Emma Navarro,Games won,7.0,Underdog Fantasy
149,Valentini Grammatikopoulou,Tamara Korpatsch,Games won,4.5,Underdog Fantasy
150,Mikael Ymer,Juan Pablo Varillas,Games won,0.5,Underdog Fantasy
151,Alexander Shevchenko,Juan Manuel Cerundolo,Games won,0.5,Underdog Fantasy
152,Daria Saville,Tereza Martincova,Games won,3.5,Underdog Fantasy
153,Nigina Abduraimova,Tatiana Prozorova,Games won,1.0,Underdog Fantasy
154,Arantxa Rus,Jasmine Paolini,Games won,0.5,Underdog Fantasy
155,Amarissa Kiara Toth,Shuai Zhang,Games won,5.0,Underdog Fantasy
156,Leo Borg,Elias Ymer,Games won,6.0,Underdog Fantasy
157,Jessica Bouzas Maneiro,Mayar Sherif,Games won,5.0,Underdog Fantasy
158,Alex Molcan,Alexander Zverev,Games won,5.0,Underdog Fantasy
159,Timea Babos,Anna Bondar,Games won,4.0,Underdog Fantasy
160,Pavel Kotov,Marco Cecchinato,Games won,0.5,Underdog Fantasy
161,Emil Ruusuvuori,Matteo Arnaldi,Games won,1.0,Underdog Fantasy
162,Storm Hunter,Nadia Podoroska,Games won,2.5,Underdog Fantasy
163,Hugo Dellien,Bernabe Zapata Miralles,Games won,3.0,Underdog Fantasy
164,Fabio Fognini,Albert Ramos-Vinolas,Games won,1.0,Underdog Fantasy
165,Sebastian Ofner,Tomas Martin Etcheverry,Games won,3.0,Underdog Fantasy
166,Constant Lestienne,James Duckworth,Games won,1.0,Underdog Fantasy
167,Alex Michelsen,Maxime Cressy,Games won,2.5,Underdog Fantasy
168,Gijs Brouwer,Max Purcell,Games won,0.5,Underdog Fantasy
169,Kevin Anderson,Gabriel Diallo,Games won,1.5,Underdog Fantasy
170,Roberto Carballes Baena,Stan Wawrinka,Games won,3.0,Underdog Fantasy
171,Fiona Ferro,Camila Osorio,Games won,4.5,Underdog Fantasy
172,Martina Trevisan,Daria Kasatkina,Games won,4.5,Underdog Fantasy
173,Val: Mazino,Val: Tacolilla,Kills on Map 1+2,0.5,Underdog Fantasy
174,Val: Shyy,Val: kiNgg,Deaths on Maps 1+2,1.0,Underdog Fantasy
175,Val: daveeyS,Val: keznit,Deaths on Maps 1+2,3.0,Underdog Fantasy
176,Val: foxz,Val: Patt,Kills on Map 1+2,2.0,Underdog Fantasy
177,Val: JiTBoyS,Val: Crws,Deaths on Maps 1+2,0.5,Underdog Fantasy
178,Val: takej,Val: Seoldam,Kills on Map 1+2,4.0,Underdog Fantasy
179,Val: Anthem,Val: xnfri,Deaths on Maps 1+2,1.0,Underdog Fantasy
