Player Name,Full Game/Half,Prop Value,Prop Parameter,League
Jaylen Brown,Full Game,28.5,Points+Rebounds,NBA
Jayson Tatum,Full Game,40.5,Points+Rebounds,NBA
Jaylen Brown,Full Game,32.5,Points+Rebounds+Assists,NBA
Jayson Tatum,Full Game,46.5,Points+Rebounds+Assists,NBA
Jayson Tatum,Full Game,30.5,Points,NBA
Grant Williams,Full Game,7.5,Points,NBA
Robert Williams,Full Game,11.5,Points+Rebounds,NBA
Derrick White,Full Game,13.5,Points,NBA
Derrick White,Full Game,16.5,Points+Assists,NBA
Robert Williams,Full Game,6.5,Points,NBA
Jayson Tatum,Full Game,16.5,Rebounds+Assists,NBA
Al Horford,Full Game,8.5,Rebounds+Assists,NBA
Marcus Smart,Full Game,9.5,Rebounds+Assists,NBA
Jayson Tatum,Full Game,10.5,Rebounds,NBA
Marcus Smart,Full Game,3.5,Rebounds,NBA
Jaylen Brown,Full Game,9.5,Rebounds+Assists,NBA
Bam Adebayo,Full Game,29.5,Points+Rebounds+Assists,NBA
Caleb Martin,Full Game,14.5,Points+Assists,NBA
Bam Adebayo,Full Game,17.5,Points,NBA
Bam Adebayo,Full Game,20.5,Points+Assists,NBA
Caleb Martin,Full Game,19.5,Points+Rebounds+Assists,NBA
Jimmy Butler,Full Game,36.5,Points+Rebounds,NBA
Bam Adebayo,Full Game,26.5,Points+Rebounds,NBA
Jimmy Butler,Full Game,7.5,Rebounds,NBA
Ezequiel Tovar,Full Game,1.5,Hits+RBIs+Runs,MLB
Charlie Blackmon,Full Game,0.5,Runs,MLB
Kris Bryant,Full Game,1.5,Bases,MLB
Daniel Vogelbach,Full Game,1.5,Hits+RBIs+Runs,MLB
Pete Alonso,Full Game,0.5,RBIs,MLB
Starling Marte,Full Game,0.5,Runs,MLB
Jeff McNeil,Full Game,0.5,Runs,MLB
Luis Arraez,Full Game,1.5,Hits+RBIs+Runs,MLB
Jacob Stallings,Full Game,0.5,Bases,MLB
Hunter Renfroe,Full Game,1.5,Hits+RBIs+Runs,MLB
Mike Trout,Full Game,0.5,Runs,MLB
